Bit_Temperature,Casing Integrity,Cuttings,Depth_Temperature,Depth_of_Bit,MUD_Circulation,MUD_Density,MUD_Density_Rating,Permeability,Permeability_Rating,Porosity,Precipitation,Pressure,Rotary_Speed,Rotary_Torque,Weight_on_Bit,failure,score,sessionID,team,turn
135.0,Good,82,95.1307577851637,0,474.07867751405377,13,Good,1,Bad,1,Low,1.8,511.0523067953522,760.0,1782.1122471779886,False,0,IedTPuRr6VTionPCWa78lJJTblw,4,0
214.0,Good,1,79.60127440300636,25,546.608139627895,14,Good,1,Bad,3,Fair,14.9,133.53572482217982,3107.0,3373.714435962567,False,1,IedTPuRr6VTionPCWa78lJJTblw,4,1
112.0,Good,31,80.74094885371414,50,1025.2476467194724,14,Good,10,Good,1,High,25.6,81.62835639286943,1574.0,1737.2924456856113,False,2,IedTPuRr6VTionPCWa78lJJTblw,4,2
244.0,Good,98,81.07705421434005,75,1197.312477314666,14,Good,10,Good,5,Fair,41.3,711.6356606459478,3744.0,5166.892892583033,False,3,IedTPuRr6VTionPCWa78lJJTblw,4,3
122.0,Good,70,98.45533069248765,100,366.88766728133066,13,Good,4,Bad,1,Fair,48.4,356.75906295192254,489.0,1202.8670326307074,True,-7,IedTPuRr6VTionPCWa78lJJTblw,4,4
400.0,Fair,11,78.48498822845106,125,494.9829987176746,13,Good,4,Bad,6,Fair,66.7,69.12686689647421,6852.0,6989.957376267947,False,-10,IedTPuRr6VTionPCWa78lJJTblw,4,5
279.0,Good,75,88.93765376426109,150,346.1758986154239,15,Good,2,Bad,4,Low,73.3,209.3944563076662,3944.0,4362.421031548287,False,-9,IedTPuRr6VTionPCWa78lJJTblw,4,6
264.0,Good,8,94.9469352607659,175,391.0630971698661,10,Bad,4,Bad,4,Low,80.0,792.1785810071186,2988.0,4572.565219600035,False,-8,IedTPuRr6VTionPCWa78lJJTblw,4,7
345.0,Good,16,86.37628572056343,200,1171.1122915479123,8,Bad,8,Good,6,Low,94.8,153.027170869724,6187.0,6493.282440198009,False,-7,IedTPuRr6VTionPCWa78lJJTblw,4,8
151.0,Good,35,83.68746939026225,225,689.7365731896892,9,Bad,5,Fine,2,Low,113.2,747.8604679053141,1292.0,2787.417661076822,False,-6,IedTPuRr6VTionPCWa78lJJTblw,4,9
267.0,Good,94,98.61260966082823,250,472.3944317990977,13,Good,3,Bad,4,Fair,128.0,541.1139846430672,3297.0,4379.146387463616,False,-5,IedTPuRr6VTionPCWa78lJJTblw,4,10
160.0,Good,93,81.35422918466249,275,398.0147715008608,10,Bad,3,Bad,2,Low,139.6,517.6828899145748,1460.0,2495.824986892157,True,-15,IedTPuRr6VTionPCWa78lJJTblw,4,11
360.0,Fair,22,88.20793936758795,300,350.8047295224585,10,Bad,4,Bad,6,Fair,140.9,288.5932102770928,5498.0,6075.415761190459,False,-18,IedTPuRr6VTionPCWa78lJJTblw,4,12
147.0,Good,16,98.1211506664893,325,359.9009161023961,12,Good,4,Bad,2,High,163.2,680.5887262729065,666.0,2026.9999548541036,False,-17,IedTPuRr6VTionPCWa78lJJTblw,4,13
144.0,Good,97,76.71016691706501,350,665.9644603492135,9,Bad,5,Fine,2,Fair,165.3,461.4258639086432,1554.0,2476.545064825934,False,-16,IedTPuRr6VTionPCWa78lJJTblw,4,14
200.0,Good,89,83.12490139607063,375,444.7535986063713,11,Good,3,Bad,3,Low,174.4,388.74475641623894,2394.0,3171.4151800731697,False,-15,IedTPuRr6VTionPCWa78lJJTblw,4,15
