Bit_Temperature,Casing Integrity,Cuttings,Depth_Temperature,Depth_of_Bit,MUD_Circulation,MUD_Density,MUD_Density_Rating,Permeability,Permeability_Rating,Porosity,Precipitation,Pressure,Rotary_Speed,Rotary_Torque,Weight_on_Bit,failure,score,sessionID,team,turn
199.0,Good,90,76.19006788878686,0,1193.7445479264788,11,Good,10,Good,4,High,4.0,371.3160010120411,3272.0,4014.271814797271,False,0,LiDqDbq4zFVbKQ7QUKK3SmCX72Y,4,0
290.0,Good,5,94.41009210535046,25,624.7313233356143,13,Good,7,Fine,4,Fair,16.5,283.1707166243084,4260.0,4826.239247521947,False,1,LiDqDbq4zFVbKQ7QUKK3SmCX72Y,4,1
57.0,Good,62,76.76358595646971,50,1033.206220818555,8,Bad,10,Good,1,Fair,25.0,407.6563400701637,227.0,1041.861713657487,False,2,LiDqDbq4zFVbKQ7QUKK3SmCX72Y,4,2
141.0,Good,85,78.03772150376979,75,1060.0242489014274,15,Good,10,Good,2,Low,36.8,313.4961999357735,2008.0,2635.482635394832,False,3,LiDqDbq4zFVbKQ7QUKK3SmCX72Y,4,3
320.0,Good,74,85.17131004561021,100,567.880184830819,15,Good,4,Bad,5,Fair,52.1,392.75116869761104,4878.0,5663.145396125124,False,4,LiDqDbq4zFVbKQ7QUKK3SmCX72Y,4,4
203.0,Good,62,88.46938044642215,125,539.3130197827325,8,Bad,1,Bad,3,Low,59.6,649.8084838960078,2177.0,3477.069281610347,False,5,LiDqDbq4zFVbKQ7QUKK3SmCX72Y,4,5
216.0,Good,57,87.73491991639578,150,933.7389306646012,8,Bad,8,Good,3,Fair,77.3,424.03355257528113,3076.0,3924.535458936615,False,6,LiDqDbq4zFVbKQ7QUKK3SmCX72Y,4,6
377.0,Fair,68,89.7964089489242,175,665.687002323189,11,Good,5,Fine,6,Low,90.1,514.6658434462195,5901.0,6930.69035700556,True,-4,LiDqDbq4zFVbKQ7QUKK3SmCX72Y,4,7
289.0,Good,28,78.53831768972995,200,1084.0700055959842,11,Good,10,Good,5,Low,102.1,443.28571912168104,4855.0,5741.727923170127,False,-7,LiDqDbq4zFVbKQ7QUKK3SmCX72Y,4,8
236.0,Good,13,85.9256997528587,225,637.9126964517696,13,Good,6,Fine,3,Fair,101.3,314.8107186736817,3325.0,3954.2557525720053,False,-6,LiDqDbq4zFVbKQ7QUKK3SmCX72Y,4,9
352.0,Fair,4,97.31731972802771,250,894.484041931899,13,Good,7,Fine,6,Low,119.0,353.96979349647125,5628.0,6335.981976863036,False,-5,LiDqDbq4zFVbKQ7QUKK3SmCX72Y,4,10
118.0,Good,88,79.26969949023173,275,430.2425760805261,11,Good,2,Bad,1,High,123.3,742.0732287242266,457.0,1941.216091658593,False,-4,LiDqDbq4zFVbKQ7QUKK3SmCX72Y,4,11
218.0,Good,18,79.20711307693982,300,1186.9678390585318,12,Good,8,Good,4,Fair,151.2,604.9777762480367,3350.0,4559.545349411742,False,-3,LiDqDbq4zFVbKQ7QUKK3SmCX72Y,4,12
158.0,Good,58,80.98884584725143,325,463.91226431938736,9,Bad,1,Bad,2,High,161.1,208.34054547757856,1805.0,2221.3493456252754,False,-2,LiDqDbq4zFVbKQ7QUKK3SmCX72Y,4,13
220.0,Good,93,78.16014718099527,350,1199.808344977684,13,Good,10,Good,4,Low,172.8,743.6668382638243,3294.0,4780.997278820928,True,-12,LiDqDbq4zFVbKQ7QUKK3SmCX72Y,4,14
135.0,Good,49,95.85469327233413,375,1090.4324282177638,9,Bad,8,Good,2,Low,183.7,128.38054127467177,1750.0,2006.4998276923807,False,-15,LiDqDbq4zFVbKQ7QUKK3SmCX72Y,4,15
126.0,Good,75,88.44851708835428,400,598.479896050006,15,Good,2,Bad,2,High,179.6,651.3429274250886,707.0,2010.0698867230476,False,-14,LiDqDbq4zFVbKQ7QUKK3SmCX72Y,4,16
244.0,Good,68,97.93682654575215,425,632.5919657395696,8,Bad,7,Fine,4,High,213.2,756.320505549371,2807.0,4320.000946625561,False,-13,LiDqDbq4zFVbKQ7QUKK3SmCX72Y,4,17
144.0,Good,34,91.34726210047239,450,817.241041529579,8,Bad,6,Fine,2,High,220.0,547.4842113654729,1330.0,2425.425609107569,False,-12,LiDqDbq4zFVbKQ7QUKK3SmCX72Y,4,18
98.0,Good,43,79.4729060196174,475,774.101051823632,9,Bad,5,Fine,1,High,226.8,83.33804626753047,1054.0,1220.6835927765235,False,-11,LiDqDbq4zFVbKQ7QUKK3SmCX72Y,4,19
109.0,Good,81,83.5040566385251,500,566.0451965337184,14,Good,2,Bad,1,Low,247.2,613.0891360130003,455.0,1681.49050584118,False,-10,LiDqDbq4zFVbKQ7QUKK3SmCX72Y,4,20
81.0,Good,47,78.6481945261427,525,929.6805066734531,15,Good,9,Good,1,Fair,256.3,739.1600456593749,245.0,1722.9851232725384,False,-9,LiDqDbq4zFVbKQ7QUKK3SmCX72Y,4,21
195.0,Good,23,82.23043973860688,550,1080.8601415680794,11,Good,8,Good,3,Fair,266.0,244.94251528048372,3096.0,3585.830434353131,True,-19,LiDqDbq4zFVbKQ7QUKK3SmCX72Y,4,22
160.0,Good,62,93.81843759028082,575,758.1058878535298,10,Bad,7,Fine,2,High,284.0,289.4864708447401,1789.0,2368.444453844866,False,-22,LiDqDbq4zFVbKQ7QUKK3SmCX72Y,4,23
304.0,Good,60,85.9771428854593,600,1131.0972375046015,15,Good,9,Good,5,High,292.2,386.35986742894147,5096.0,5868.76508660569,False,-21,LiDqDbq4zFVbKQ7QUKK3SmCX72Y,4,24
306.0,Good,10,82.76566844425885,625,420.0838977688404,9,Bad,1,Bad,5,High,283.0,555.2275217571943,4328.0,5438.843729499767,False,-20,LiDqDbq4zFVbKQ7QUKK3SmCX72Y,4,25
202.0,Good,68,83.45993718780593,650,665.183355979593,12,Good,5,Fine,3,Fair,288.8,553.9581737620596,2490.0,3597.5785643522745,False,-19,LiDqDbq4zFVbKQ7QUKK3SmCX72Y,4,26
357.0,Fair,19,83.99240100851269,675,482.24482025657863,8,Bad,1,Bad,6,High,306.1,779.2199386512447,5157.0,6715.649272383402,False,-18,LiDqDbq4zFVbKQ7QUKK3SmCX72Y,4,27
293.0,Good,23,81.93115013713448,700,1062.9509121825622,8,Bad,9,Good,5,High,338.4,393.896905856269,4888.0,5675.345883353619,True,-28,LiDqDbq4zFVbKQ7QUKK3SmCX72Y,4,28
334.0,Good,30,93.26867373897925,725,962.0417908955565,9,Bad,10,Good,6,Fair,352.8,647.7649178344142,5129.0,6424.299578610505,False,-31,LiDqDbq4zFVbKQ7QUKK3SmCX72Y,4,29
255.0,Good,20,87.54406975594651,750,983.3831414377604,9,Bad,9,Good,5,High,363.4,747.7604439710484,3577.0,5072.100032168052,False,-30,LiDqDbq4zFVbKQ7QUKK3SmCX72Y,4,30
366.0,Fair,15,89.52632838824603,775,584.603200814118,10,Bad,1,Bad,6,High,344.7,766.507068545496,5347.0,6879.776325042219,False,-29,LiDqDbq4zFVbKQ7QUKK3SmCX72Y,4,31
149.0,Good,1,99.88798341351556,800,676.3341698858054,14,Good,5,Fine,2,High,381.3,477.1454323404183,1185.0,2139.6972447027097,True,-39,LiDqDbq4zFVbKQ7QUKK3SmCX72Y,4,32
98.0,Good,1,80.68093898718978,825,1130.668473808608,8,Bad,10,Good,1,Fair,382.3,387.14186388102684,1091.0,1865.1858240805054,False,-42,LiDqDbq4zFVbKQ7QUKK3SmCX72Y,4,33
146.0,Good,86,99.78306789062988,850,1044.1533143899487,15,Good,10,Good,2,Fair,380.2,415.9858848503886,1555.0,2386.555157907299,False,-41,LiDqDbq4zFVbKQ7QUKK3SmCX72Y,4,34
233.0,Good,76,84.21746581854339,875,827.3123371787901,11,Good,5,Fine,3,High,434.3,129.82095917150093,3676.0,3935.817834000169,False,-40,LiDqDbq4zFVbKQ7QUKK3SmCX72Y,4,35
258.0,Good,23,81.90644331258618,900,850.2449633595674,15,Good,7,Fine,4,Low,401.4,271.6273527161886,4108.0,4650.785600987148,False,-39,LiDqDbq4zFVbKQ7QUKK3SmCX72Y,4,36
166.0,Good,6,96.42601238546706,925,762.0458419329445,8,Bad,7,Fine,2,Fair,409.2,645.8146714437557,1516.0,2807.182514382743,False,-38,LiDqDbq4zFVbKQ7QUKK3SmCX72Y,4,37
220.0,Good,22,81.79662041382575,950,829.0488307554212,8,Bad,6,Fine,4,Low,420.0,645.7040755014427,2943.0,4234.210943962733,False,-37,LiDqDbq4zFVbKQ7QUKK3SmCX72Y,4,38
197.0,Good,80,91.92302501821362,975,313.034395417904,8,Bad,4,Bad,2,High,428.4,538.8154166980539,1873.0,2950.30169972407,False,-36,LiDqDbq4zFVbKQ7QUKK3SmCX72Y,4,39
248.0,Good,64,88.04054125766109,1000,1018.7409115506537,13,Good,9,Good,4,Fair,463.9,250.4548344960134,3975.0,4475.629814074149,False,-35,LiDqDbq4zFVbKQ7QUKK3SmCX72Y,4,40
266.0,Good,30,86.03229880325517,1025,307.0678835208827,14,Good,2,Bad,4,Fair,511.5,366.4195144880295,3547.0,4279.4985616202575,True,-45,LiDqDbq4zFVbKQ7QUKK3SmCX72Y,4,41
339.0,Good,89,99.43440421576845,1050,416.0908691565777,8,Bad,1,Bad,5,Fair,501.8,582.8819747921758,4633.0,5798.730014316337,False,-48,LiDqDbq4zFVbKQ7QUKK3SmCX72Y,4,42
81.0,Good,34,92.01000379841572,1075,998.4042420451331,8,Bad,9,Good,1,Low,490.6,707.6366330713647,80.0,1495.7208503980528,False,-47,LiDqDbq4zFVbKQ7QUKK3SmCX72Y,4,43
398.0,Fair,16,94.62216549822958,1100,546.2306776260774,9,Bad,1,Bad,6,Low,524.2,353.76138589586276,6259.0,6966.816818546294,False,-46,LiDqDbq4zFVbKQ7QUKK3SmCX72Y,4,44
